北	ホク,きた
毎	マイ
妹	いもうと
万	マン
明	メイ,ミョウ,あ-かり,あか-るい,あか-るむ,あか-らむ,あき-らか,あ-ける,あ-く,あ-くる,あ-かす
鳴	メイ,な-く,な-る,な-らす
毛	モウ,け
門	モン
夜	ヤ,よ,よる
野	ヤ,の
友	ユウ,とも
用	ヨウ,もち-いる
曜	ヨウ
来	ライ,く-る
里	リ,さと
理	リ
話	ワ,はな-す,はなし
悪	アク,わる-い
安	アン,やす-い
暗	アン,くら-い
医	イ
委	イ,ゆだ-ねる
意	イ
育	イク,そだ-つ,そだ-てる,はぐく-む
員	イン
院	イン
飲	イン,の-む
運	ウン,はこ-ぶ
泳	エイ,およ-ぐ
駅	エキ
央	オウ
横	オウ,よこ
屋	オク,や
温	オン,あたた-か,あたた-かい,あたた-まる,あたた-める
化	カ,ば-ける,ば-かす
荷	に
界	カイ
開	カイ,ひら-く,ひら-ける,あ-く,あ-ける
階	カイ
寒	カン,さむ-い
感	カン
漢	カン
館	カン,やかた
岸	ガン,きし
起	キ,お-きる,お-こる,お-こす
期	キ
客	キャク
究	キュウ
急	キュウ,いそ-ぐ
級	キュウ
宮	キュウ,みや
球	キュウ,たま
去	キョ,コ,さ-る
橋	キョウ,はし
業	ギョウ
曲	キョク,ま-がる,ま-げる
局	キョク
銀	ギン
区	ク
苦	ク,くる-しい,くる-しむ,くる-しめる,にが-い,にが-る
具	グ
君	クン,きみ
係	ケイ,かか-る,かかり
軽	ケイ,かる-い
血	ケツ,ち
決	ケツ,き-める,き-まる
研	ケン
県	ケン
庫	コ
湖	コ,みずうみ
向	コウ,む-く,む-ける,む-かう,む-こう
幸	コウ,さいわ-い,しあわ-せ
港	コウ,みなと
号	ゴウ
根	コン,ね
祭	サイ,まつ-る,まつ-り
皿	さら
仕	シ,つか-える
死	シ,し-ぬ
使	シ,つか-う
始	シ,はじ-める,はじ-まる
指	シ,ゆび,さ-す
歯	シ,は
詩	シ
次	ジ,つ-ぐ,つぎ
事	ジ,こと
持	ジ,も-つ
式	シキ
実	ジツ,み,みの-る
写	シャ,うつ-す,うつ-る
者	シャ,もの
主	シュ,ぬし,おも
守	シュ,ス,まも-る
取	シュ,と-る
酒	シュ,さけ,さか
受	ジュ,う-ける,う-かる
州	シュウ
拾	ひろ-う
終	シュウ,お-わる,お-える
習	シュウ,なら-う
集	シュウ,あつ-まる,あつ-める
住	ジュウ,す-む,す-まう
重	ジュウ,チョウ,おも-い,かさ-ねる,かさ-なる,え
宿	シュク,やど,やど-る,やど-す
所	ショ,ところ
暑	ショ,あつ-い
助	ジョ,たす-ける,たす-かる
昭	ショウ
消	ショウ,き-える,け-す
商	ショウ
章	ショウ
勝	ショウ,か-つ
乗	ジョウ,の-る,の-せる
植	ショク,う-える,う-わる
申	もう-す
身	シン,み
神	シン,ジン,かみ
真	シン,ま
深	シン,ふか-い,ふか-まる,ふか-める
進	シン,すす-む,すす-める
世	セイ,セ,よ
整	セイ,ととの-える,ととの-う
昔	むかし
全	ゼン,まった-く,すべ-て
相	ソウ,あい
送	ソウ,おく-る
想	ソウ
息	ソク,いき
速	ソク,はや-い,はや-める,はや-まる
族	ゾク
他	タ,ほか
打	ダ,う-つ
対	タイ
待	タイ,ま-つ
代	ダイ,タイ,か-わる,か-える,よ
第	ダイ
題	ダイ
炭	タン,すみ
短	タン,みじか-い
談	ダン
着	チャク,き-る,き-せる,つ-く,つ-ける
注	チュウ,そそ-ぐ
柱	チュウ,はしら
丁	チョウ
帳	チョウ
調	チョウ,しら-べる
追	ツイ,お-う
定	テイ,ジョウ,さだ-める,さだ-まる
庭	テイ,にわ
笛	テキ,ふえ
鉄	テツ
転	テン,ころ-がる,ころ-げる,ころ-がす,ころ-ぶ
都	ト,ツ,みやこ
度	ド
投	トウ,な-げる
豆	トウ,ズ,まめ
島	トウ,しま
湯	トウ,ゆ
登	トウ,ト,のぼ-る
等	トウ,ひと-しい
動	ドウ,うご-く,うご-かす
童	ドウ
農	ノウ
波	ハ,なみ
配	ハイ,くば-る
倍	バイ
箱	はこ
畑	はた,はたけ
発	ハツ
反	ハン,そ-る,そ-らす
坂	さか
板	ハン,バン,いた
皮	ヒ,かわ
悲	ヒ,かな-しい,かな-しむ
美	ビ,うつく-しい
鼻	はな
筆	ヒツ,ふで
氷	ヒョウ,こおり
表	ヒョウ,おもて,あらわ-す,あらわ-れる
秒	ビョウ
病	ビョウ,やまい
品	ヒン,しな
負	フ,ま-ける,ま-かす,お-う
部	ブ
服	フク
福	フク
物	ブツ,モツ,もの
平	ヘイ,ビョウ,たい-ら,ひら
返	ヘン,かえ-す,かえ-る
勉	ベン
放	ホウ,はな-す,はな-つ,はな-れる,ほう-る
味	ミ,あじ,あじ-わう
命	メイ,いのち
面	メン
問	モン,と-う,と-い,とん
役	ヤク
薬	ヤク,くすり
由	ユ,ユウ
油	ユ,あぶら
有	ユウ,あ-る
遊	ユウ,あそ-ぶ
予	ヨ
羊	ヨウ,ひつじ
洋	ヨウ
葉	ヨウ,は
陽	ヨウ
様	ヨウ,さま
落	ラク,お-ちる,お-とす
流	リュウ,なが-れる,なが-す
旅	リョ,たび
両	リョウ
緑	リョク,みどり
礼	レイ
列	レツ
練	レン,ね-る
路	ロ,じ
和	ワ
愛	アイ
案	アン
以	イ
衣	イ
位	イ,くらい
茨	いばら
印	イン,しるし
英	エイ
栄	エイ,さか-える
媛	エン
塩	エン,しお
岡	おか
億	オク
加	カ,くわ-える,くわ-わる
果	カ,は-たす,は-てる,は-て
貨	カ
課	カ
芽	ガ,め
賀	ガ
改	カイ,あらた-める,あらた-まる
械	カイ
害	ガイ
街	ガイ,まち
各	カク
覚	カク,おぼ-える,さ-ます,さ-める
潟	かた
完	カン
官	カン
管	カン,くだ
関	カン,せき,かか-わる
観	カン
願	ガン,ねが-う
岐	キ
希	キ
季	キ
旗	キ,はた
器	キ
機	キ
議	ギ
求	キュウ,もと-める
泣	な-く
給	キュウ
挙	キョ,あ-げる,あ-がる
漁	ギョ,リョウ
共	キョウ,とも
協	キョウ
鏡	キョウ,かがみ
競	キョウ,ケイ
極	キョク
熊	くま
訓	クン
軍	グン
郡	グン
群	グン,む-れる,む-れ,むら
径	ケイ
景	ケイ
芸	ゲイ
欠	ケツ,か-ける,か-く
結	ケツ,むす-ぶ
建	ケン,た-てる,た-つ
健	ケン
験	ケン
固	コ,かた-める,かた-まる,かた-い
功	コウ
好	コウ,この-む,す-く
香	か,かお-り,かお-る
候	コウ
康	コウ
佐	サ
差	サ,さ-す
菜	サイ,な
最	サイ,もっと-も
埼	さい
材	ザイ
崎	さき
昨	サク
札	サツ,ふだ
刷	サツ,す-る
察	サツ
参	サン,まい-る
産	サン,う-む,う-まれる
散	サン,ち-る,ち-らす,ち-らかす,ち-らかる
残	ザン,のこ-る,のこ-す
氏	シ
司	シ
試	シ,こころ-みる
児	ジ
治	ジ,チ,おさ-める,おさ-まる,なお-る,なお-す
滋	
辞	ジ
鹿	しか,か
失	シツ,うしな-う
借	シャク,か-りる
種	シュ,たね
周	シュウ,まわ-り
祝	シュク,いわ-う
順	ジュン
初	ショ,はじ-め,はじ-めて,はつ
松	ショウ,まつ
笑	わら-う
唱	ショウ,とな-える
焼	や-く,や-ける
照	ショウ,て-る,て-らす,て-れる
城	ジョウ,しろ
縄	なわ
臣	シン,ジン
信	シン
井	い
成	セイ,な-る,な-す
省	セイ,ショウ,はぶ-く
清	セイ,きよ-い,きよ-まる,きよ-める
静	セイ,しず,しず-か,しず-まる,しず-める
席	セキ
積	セキ,つ-む,つ-もる
折	セツ,お-る,おり,お-れる
節	セツ,ふし
説	セツ,と-く
浅	あさ-い
戦	セン,たたか-う
選	セン,えら-ぶ
然	ゼン,ネン
争	ソウ,あらそ-う
倉	ソウ,くら
巣	す
束	ソク,たば
側	ソク,がわ
続	ゾク,つづ-く,つづ-ける
卒	ソツ
孫	ソン,まご
帯	タイ,お-びる,おび
隊	タイ
達	タツ
単	タン
置	チ,お-く
仲	なか
沖	おき
兆	チョウ
低	テイ,ひく-い,ひく-める,ひく-まる
底	テイ,そこ
的	テキ,まと
典	テン
伝	デン,つた-わる,つた-える,つた-う
徒	ト
努	ド,つと-める
灯	トウ
働	ドウ,はたら-く
特	トク
徳	トク
栃	とち
奈	ナ
梨	なし
熱	ネツ,あつ-い
念	ネン
敗	ハイ,やぶ-れる
梅	バイ,うめ
博	ハク
阪	
飯	ハン,めし
飛	ヒ,と-ぶ,と-ばす
必	ヒツ,かなら-ず
票	ヒョウ
標	ヒョウ
不	フ,ブ
夫	フ,おっと
